id,topic_id,text,type,effectiveness;;;;;;
;;;;;;
"face"""" has ridges or canyon. So maybe the ridegs/canyons made the land form that way "",Evidence,Adequate";;;;;;
5983efd986b0,0167BBA84E43,NASA on the other hand and says there is likelyness of a human face. They also believe it is an alien artifac ,Counterclaim,Ineffective;;;;;;
"9373ad480e79,0167BBA84E43,""According to the picture they say because of the shadows it portraies eyes, nose and mouth. They say that in the years that they took the picture it has developed more and more over the spands of years. ";;;;;;
",Evidence,Ineffective
599e5e16e9ed,0168325D0E24,Well Paris has enforced a driving ban to help clear the air of pollution. """"On mondays motorists with even-numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine ($31). The same would apply to odd-numbered plates the following day."""" Many people, in Paris, were fined for driving on the wrong day. Paris wanted to do something about the smog that was surrounding their beautiful city, so they figured if there wasnt as many cars polluting the air then the smog would go away. "",Evidence,Adequate";;;;;;
a398be97f2b7,0168325D0E24,It actually helped having cars stop driving on certain days because the smog actually cleared. ,Claim,Adequate;;;;;;
"38a6679de2ed,0168325D0E24,""""""Recent studies suggest that Americans are buying fewer cars, driving less, and getting fewer licenses as each year goes by."""" American has always had a thing for cars but lately that seems to be a false statement. "",Evidence,Adequate";;;;;;
"f1cc93a81a32,0168325D0E24,""In the more populated citys, people are using more bikes and less cars. Its easier to get around a city where there are thousands of people on the streets alone. "",Claim,Effective";;;;;;
"1e8d962ccf47,0168325D0E24,""Internet maybe a huge reason why theres less dringing because it feels like your more connected with your friends and family without actually having to go anywhere. The need for cars in the U.S. has gone down dramadically. ";;;;;;
",Evidence,Adequate
417f54b08a30,0168325D0E24,Ever been to a place where there are no cars aloud. Well in Vauban, Germany there is a place where if you want to go there you have to give up your car. """"Street parking, driveways and home garages are generally forbidden is this experimental new district on the outskirts of Freiburg."""" People are happier without the stress of a car says Heidrun Walter. "",Evidence,Adequate";;;;;;
"dc6acebcd4c0,0168325D0E24,""This is a place for clean air and no pollution from the car fumes. As of right now, this experiment seems to be running quite nicely. "",Claim,Effective";;;;;;
"af569f0ddf09,01AFC67DF935,""Also when riding in or driving a motorized vehicle, your could get into an accident.  Getting into an accident in a vehicle could have much more fatal result than you walking, jogging, or even riding a bicycle. ";;;;;;
",Evidence,Adequate
917cc7fc5ca4,01AFC67DF935,Although walking, jogging, or riding a bicycle isnt must safer than riding in a vehicle.  "",Counterclaim,Adequate";;;;;;
"4e718381101b,01AFC67DF935,""You could be walking along when a stranger may walk up out of nowhere, beat you up, and could hurt you very badly.  They may also take your wallet/purse.  Depending on who the person is, you could end up with a black eye, cut or busted lip/eye, or anything miner";" while if the wrong person gets ahold of you, you could end up in the hospital needing surgery, transplant of some sort, or could even loose your life. "",Evidence,Adequate";;;;;
"a2a95e4cd114,01AFC67DF935,""Also, owning a car could could put someone in debt.  "",Claim,Adequate";;;;;;
"0adaf1d049b4,01AFC67DF935,""Falling behind on payments could be devastating to you and your family.  When the car company comes to reposses your vehicle, you could end up having to walk, jog, or even ride a bike. "",Evidence,Adequate";;;;;;
3f45cda4e0b0,01B52B1D14F8,After reading the article I really could'nt decide. When reading about the FACS the first thing that came to my mind was to use this technology on the faces of celeberties. ,Evidence,Ineffective;;;;;;
6ba8f4c85956,01B52B1D14F8,Well it's because it would be fun to do so. In my opinion that's what it's most useful for in classrooms. ,Claim,Adequate;;;;;;
8a0d92309806,01B52B1D14F8,Sure the teacher could use this technology to teach students about how advanced the humans have become but.. ,Counterclaim,Ineffective;;;;;;
e890c3ba9d81,01B52B1D14F8,Imagine being a teacher and then one day you introduce the FACS to your students. What do you think the first thing they do would be? I think the first thing they would do is take selfies and let the FACS analyze thier face. Then they laugh at the results. ,Evidence,Adequate;;;;;;
b9be259b07fa,01B52B1D14F8,See they are doing it for fun. ,Rebuttal,Adequate;;;;;;
"9732378cc532,01B52B1D14F8,""This reminds me of disecting frogs in biology. Some students think it's useful for your education while some other students think it's a waste of time, a waste of life for the frogs and that disecting them in the first place is already digusting. But do they do this for fun. NO they don't. They do it to learn about the oragns of the frogs and the purpose of each organ. But is disecting frogs valuable? Yes in my opinion. "",Evidence,Ineffective";;;;;;
b2dc14b0cafc,01B52B1D14F8,But that dosen't mean that you should not let them try it. ,Counterclaim,Adequate;;;;;;
"19b8004b9213,01B52B1D14F8,""Here's what the teachers should do. They show the students a picture of someones face. Lets just say for example Mona Lisa. The students will stare at the picture for about a minute carefully looking at every part of Mona Lisa's face. Then the students will decide Mona Lisa's emotion by rating her happiness, sadness, anger, digust or any other kind of emotions. Then after that the teacher uses the FACS on Mona Lisa's face to see if the results for Mona Lisa's emotions from the technology is the same as the results from the students. "",Evidence,Adequate";;;;;;
"4a7d11406893,01E9D9CD5CBF,""The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. Suprising finding were that (1) the noise added to test face image had profound effect on the facail expression and (2) in most every istance the new expression was meaningful.";;;;;;
;;;;;;
"All 44 major muscles in the mode must move like human muslces. Movemment of one or more mucles is called an """"action unit"""" Then Dr. Pual Eckam, creator of (FACS) Ekman has classified six basic emotions- happeniess, suprise, anger, disgust, feat and sadness. In the text it states,""""The soft wear is the latest innovatiobn from Prof. Thomas Huang, of the Beckman Institiute for Advance Science at the University of";;;;;;
;;;;;;
"Illinois."""" Dr. Huag and colleague are experts at developing better ways fo humans and computers to communicate. The faical expressions for each emotion are univeral, observers Dr. Huang, even thought individuals often show varying degrees of expression (like smiling broadly). Using video imagery, the new emotion-recqizing softwear facture these movements.";;;;;;
;;;;;;
"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. The process begins whwne the computer constructs a 3-D comupter Model. "",Evidence,Ineffective";;;;;;
"d9f3089308c7,01F69867D1BE,""While a summer project is not something most students would like to do over there break, teachers could allow there students to choose a topic or unit to base there project on. "",Claim,Effective";;;;;;
199aea4ae355,01F69867D1BE,Students can use this to there advantage and choose a topic they were intreasted. Students could learn and still enjoy working on the project. Students also have an easier time working on topics that they have knowledge on allowing them to complete there work easily. Students can take advantage of being able to design there own project and choose a topic or unit that they struggled on through out the year. Working on these weak points can strengthen your skills for next school year. Students can go back and look at past notes and worksheets helping improve there skills in that topic. ,Evidence,Effective;;;;;;
"6a1cca1e1142,01F69867D1BE,""Students being able to design there projects could allow the student to create something they enjoy doing over the summer with friends and family, rather then students thinking of it as another teacher assined project that is boring "",Claim,Effective";;;;;;
f4416adbb49e,01F69867D1BE,Instead they can create something that they think of as fun but still educates them. They could also use this project to study or learn upcoming cirriculum for next year. This would allow the student to get a head start on future units and topics. ,Evidence,Adequate;;;;;;
"d1c5f0d13151,021663FD2F2E,""The Mona lisa demonstration really intended to bring a smile to your face this while just imagine how a computer knows when you're happy or sad thats crazy. For example, if you smile as soon as a web ad appears on the screen another ad will follow. Lets say that you frown the next ad will be different from the one you smiled on. Another thing a classroom computer can know when students are becoming to be confused or bored.";;;;;;
;;;;;;
How the start of the porcess is when the computer contracts a 3-D computer model of the face all of the 44 major muscles on the model must have move like human muscles. Eckamn has classified six emotions for example anger, surprise, fear, sadness and happiness. Movement for more than one muscle is called a unit.;;;;;;
;;;;;;
"In fact us human perfrom this impressive called calculation we use it everyday. For example, you could tell how your friend is feeling by looking at his or her face. most us would have trouble describing each others facial trit that makes us happy or worried. Yet Dr. Huang observes artist like Leonardo Da Vinci he studied human anatomy to help them paint facial muscles to have enough convey specific type of emoitions. "",Evidence,Ineffective";;;;;;
da54c636c445,021663FD2F2E,However the new technology is valuable by telling you how what are your human emotions. For example a classroom computer can show when a student is bored or getting confused. Also it can classified six different motions ,Claim,Adequate;;;;;;
"5ac75720d785,022EE73C4244,""When someone decidedly does not like something, you can't force them to like it, no matter how hard you try. That is what it can feel like for students when teachers assign work that is not interesting to them over and over again. There is no way for every part of classwork to interest students, but teachers could make an effort to make the one assignment that no one wants to do over the summer, interesting. "",Evidence,Adequate";;;;;;
"315a20da8ef8,022EE73C4244,""When students have the ability to decide what they will study in a project, they are more excited and more willing to get the work done. "",Claim,Effective";;;;;;
5d1e0a284fca,022EE73C4244,Having students choose their project will save both the teachers and students from the painful force feeding of information. ,Evidence,Adequate;;;;;;
"3726d4fd11d5,022EE73C4244,""Now, this assignment can not be a free for all, that would not be completely fair. There may be some students who go above and beyond while some may do the bare minimum and call it done. "",Counterclaim,Effective";;;;;;
a5b52f9c901e,022EE73C4244,To avoid this scenario teachers could implement some sort of rubric or guidelines for what the student chosen project would have to include and how they will go about grading it. This way the playing field is level and everyone has the opportunity to succeed. ,Rebuttal,Effective;;;;;;
e3354441c900,022EE73C4244,A common issue faced with summer work is the student procrastination. Obviously no one wants to do schoolwork on their vacation so it is common practice to put it off for as long as possible and then rush the night before. Even if there was three months to do it! ,Evidence,Adequate;;;;;;
"a25ac5272d77,022EE73C4244,""With a student chosen project, students may feel more inclined to do their work because working on something that interests them won't feel like such a chore. "",Claim,Effective";;;;;;
"7ff80a11c483,023CEE52C08C,""In the begining of the artical it talks abou how Venus isthe second closest planet from the sun and how it is one of the two most similar planets to Earth. Since it has similarities to Earths' size and density scientest have sentunmanded spacecrafts to Venus to investigate.";;;;;;
;;;;;;
"Unfortunatlly no space craft has survived acording to the last two sentances of paragraph two. In the beginning of paragraph three it states how a thick atmosphere of almost 97 percent of carbon dioxide engulfs Venus. The clouds on this planet are also highly currosive with sulfuric acid in them. The planets surface averages about 800 degrees Fahrenheit and the atmospheric presure is 90 times greater than on Earth. This concludes that Venus has the hotest surface tempreature of any planet in our solar system. Venus also has obsticals like erupting valcanos, earthquakes, and frequent lightning stikes on the planets surface. "",Evidence,Ineffective";;;;;;
6460c3c57613,023CEE52C08C,With all these complications though scientest still are curious about this dangerous planet. ,Claim,Adequate;;;;;;
"0859f09e1301,023CEE52C08C,""In the second sentance of the fourth paragraph it explains that astronomers are curious because it may have been the most Earth like planet in our solar system. The planet resembles a surface with rocky sediment and includes things such as valleys, mountains, and craters.";;;;;;
;;;;;;
In the fifth paragraph it states that NASA is coming up with possible solutions to avoid most of these issues. One of them is inventing is a small vehical that resembles a blimp floating 30 miles above Venus's landscape. ;;;;;;
",Evidence,Ineffective
7a64b833e900,023CEE52C08C,Now this doesn't get the scientest what they want exactly what they want ,Claim,Ineffective
bc308615acee,023CEE52C08C,because due to the planets atmospher light doesn't peneatrate very well making it difficult to observe ground conditions. It also limits the amount that you would see in pictures and vidoes of the planet. Many researchers are working on new inventions so macheines will last longer on the harsh planet.";;;;;;
;;;;;;
"For example in the seventh paragraph NASA states that it has been working on electronics made of silicon carbon and they have even tested it a chamber concluding that it lasted in the harsh conditions for three weeks. They are also recyclaling old ideas from the 1800's, they are trying to use a computor that does calculations,but theinvention uses gears and levers, meaning that it doesn't require any electricity to work. "",Evidence,Ineffective";;;;;;
efeb7a805421,02A3E737A10F,Students have other things to do at home ,Claim,Adequate;;;;;;
"03205305e7bd,02A3E737A10F,""Many students have a lot of things to do at home and they're already busy with other things. Students have a lot of homework to do from different teachers. For an example students are given a lot of homework and have chores to do at home like cleaning clothes, taking care of their pets, cleaning the house or taking care of their siblings. Some students are already tired from school and might not want to participate in any other activity because they have to wake up early for school and have to do school work really early even though science say that the human brain starts working correctly when it's ten in the morning so that means the human brain of a middle school might not work so well at six or seven in the gosh darn morning. "",Evidence,Effective";;;;;;
"e0c8f73f08a4,02A3E737A10F,""I disagree with the principal that every student must participate in an activity because not everyone is sporty, want to stay inside and do the yearbook or serve on the student council. "",Claim,Adequate";;;;;;
0d1e519f6453,02A3E737A10F,Some kids just want to go home and relax a bit after doing work at school or some just want to play games to realest their stress of school. ,Claim,Adequate;;;;;;
5986a3e97577,02A3E737A10F,I think that students don't need to participate an any sort of activity that has to do with school because people want their minds off of school and not have to worry so much about it. Kids just wanna have fun out of school and don't want to do anything school related. Well most kids don't want anything to do with school once they get home. ,Evidence,Adequate;;;;;;
"b5812a378920,02DACD6071FD,""When you go and become a Seagoing Cowboy you get to live on a boat with farm animals. Also while on your way to your distanation you get to stop at cool places. You can stop Greece,Italy,& China. Also even a castle. You get to see different cultures. When your fun and amazing trip comes to an end and you have to go home. Where their were animals is a big and open, because they are gone now. So you play sports like baseball, volleyball, table-tennis, fencing, and boxing. Also it wastes time on the way back. "",Evidence,Adequate";;;;;;
2fdae40d3aab,02DACD6071FD,I belevie if you do go you would have one of the best time of your life. ,Claim,Adequate;;;;;;
9a07bfe21f26,02DACD6071FD,Also keep in mind this is to help paces after World War II. ,Claim,Adequate;;;;;;
7fd6e0773bcf,02DACD6071FD,And you get to see how this world changed from a war. And how people are doing in their new home that was maybe was distroed. And when you do help you see how the people are happy and so thankful for you help with supplies. So they can now live again with some comfort.           ,Evidence,Ineffective;;;;;;
891ea1f779cd,02DD203E0599,Using your cellphone can actually be deadly ,Claim,Adequate;;;;;;
"7fccafa75c59,02DD203E0599,""because cell phones can cause inattention blindness while driving, you are putting yourself and others around you in danger, and placing a ban on cell phone use while driving is proven to be effective. ";;;;;;
",Evidence,Adequate
54a1880a8c04,02DD203E0599,Using your cell phone while driving is very common nowadays. ,Claim,Adequate
09c1436528db,02DD203E0599,When people use their cell phones while driving it sometimes has a negative effect. Cell phone usage while driving is a common occurrence in today's society. Unfortunately, it often has a negative impact on drivers using phones and those surrounding them. Because of the growing popularity of cellular devices in modern society, the urge for the public to use their phones frequently is severe. "",Evidence,Adequate";;;;;;
"86b011929354,02DD203E0599,""When you are using your cell phone while driving, you're doing all three types which are manual, visual, and cognitive. "",Claim,Ineffective";;;;;;
"492b86b8daf0,02DD203E0599,""Manual distraction is when you are taking your hands off the wheel for even just a split second. Many deadly accidents are caused by someone bending down to simply pick up their phone that fell on the floor of the car. Many of us don't realize how distracted we are when using our cell phones until we look up from our screens. That's when we notice that we are swerving to one side too much, speeding or slowing down, or that we are very close to the car in front of ours.                                                    "",Evidence,Adequate";;;;;;
c3bfa0bd98cc,0300455258CB,Teens and adults spend most of their time on their cellular devices. They are either on social media or texting. Nobody gets on the phone anymore its all about texting now ,Evidence,Ineffective;;;;;;
b00c67691273,0300455258CB,It is very dangerous to text while driving ,Claim,Adequate;;;;;;
"ccb725ab9e17,0300455258CB,""because you are putting more attention on texting then the road, and they take their eyes off the road while they are driving, which increases the chance that the driver can lose control of the car, and could get into a car accident or worse die. Texting and driving are worse than drinking and driving "",Evidence,Adequate";;;;;;
"57632ebf19b7,0300455258CB,""Also, it's illegal to text and drive but people still do it cause they don't think about the consequences or what could happen. "",Claim,Adequate";;;;;;
"89084575ca31,0300455258CB,""Texting and driving is one thing you should not be doing cause a lot of things could happen and texting is not worth risking your life. When you can wait to text the person back or just get on the phone using Bluetooth to the car and talk, its better than risking your life or someone else. "",Evidence,Adequate";;;;;;
e5ae92d2ff47,030F2D5F039D,so students can study and understand how the artist felt when he or she painted on the canvis. ,Claim,Ineffective;;;;;;
"3389d2d2b95a,030F2D5F039D,""They could be happy, sad, surprise, angery, disgusted,and afraid. "",Evidence,Adequate";;;;;;
"a2b19fe0dd8c,030F2D5F039D,""The FACS (Facial Action Coding System) is a good thing, because not only students can the device but middle age people can use the device too. "",Claim,Adequate";;;;;;
"c0df93775ef2,030F2D5F039D,""paragraph 1 said """"She's 83 percent happy, 9 percent disgusted, 6 percent fearful, and 2 percent angry.""""";"and how we know that? you may ask. The FACS """"Dr. Huang relies on the work of psychologists, such as Dr. Paul Eckman, creator of FACS"""" witch was stated in paragrah 3";" they said all 44 major muscles in the model must move like human muscles and when moving of one or more muscles is called an action unit. "",Evidence,Ineffective";;;;
"880138981a1e,030F2D5F039D,""Paragraph 4 said """"The facial expressions for each emotion are universal"""" and that means every you move your expressions change. They also gave an example they said like not smiling as broadly. They can move and mix emotions in da vinci's masterpiece witch the Mona Lisa useing the FACS. Dr. Huang's new computer software cantanes similar anatomical information as electronic code. "",Evidence,Ineffective";;;;;;
"eb5b82158731,030F2D5F039D,""So lets say you was trying to see all of your mom's emotions in one picture, "",Evidence,Adequate";;;;;;
"e20f767ca9de,030F2D5F039D,""by useing FACS you can move rotate and mix emotions to figer out your mom emotions, and to have students and teacher do that thats cool "",Claim,Adequate";;;;;;
"b74a11853b35,037059DAD8EF,""There are many reasons why I agree with the use of the FACS. For instint, technlogy would be able to identify how you feel about what you're learning, "",Claim,Adequate";;;;;;
3d6c668d1896,037059DAD8EF,it'll make you a more emotional person ,Claim,Adequate;;;;;;
db8889f0ff9f,037059DAD8EF,it will help you stay on task. ,Claim,Adequate;;;;;;
7742d3a09234,037059DAD8EF,I think the FACS has a good chance of changing the future in a possitive way. ,Claim,Adequate;;;;;;
1aaf01867a83,037059DAD8EF,The FACS was desinged to to recognize six everyday emotions. This would be helpful when a student is confused or does not understand what the teacher is trying to teach. ,Claim,Adequate;;;;;;
2c8d3582a012,037059DAD8EF,The system could then modify the classwork that the student is working on. With more practice the computer could then change the difficultiness of the assignment according to how the student feels. For an example lets say a gentelman is stuck on a math problem. The frustration that the gentelman is showing will be seen by the computer. The computer will then help the gentelman by modifying it or infroming the teacher where he is struggling. This will better his education and help out more when students are scared to ask for help. ,Evidence,Adequate;;;;;;
223f88c57968,037059DAD8EF,The positive effect that the FACS has on the students is another reason why it will be vaulable in classrooms. ,Claim,Adequate;;;;;;
